beg,end,approval,disapproval,no opinon
2015-10-12,2015-10-18,46,50,4
2015-10-05,2015-10-11,46,50,5
2015-09-28,2015-10-04,47,49,5
2015-09-21,2015-09-27,48,49,3
2015-09-14,2015-09-20,46,51,4
2015-09-07,2015-09-13,46,49,5
2015-08-31,2015-09-06,46,50,4
2015-08-24,2015-08-30,46,50,4
2015-08-17,2015-08-23,44,51,5
2015-08-10,2015-08-16,46,49,5
2015-08-03,2015-08-09,46,50,4
2015-07-27,2015-08-02,46,49,5
2015-07-20,2015-07-26,46,50,5
2015-07-13,2015-07-19,46,48,6
2015-07-06,2015-07-12,46,49,5
2015-06-29,2015-07-05,46,49,5
2015-06-22,2015-06-28,47,49,5
2015-06-15,2015-06-21,45,50,6
2015-06-08,2015-06-14,45,49,5
2015-06-01,2015-06-07,46,49,5
2015-05-25,2015-05-31,47,49,5
2015-05-18,2015-05-24,46,49,5
2015-05-11,2015-05-17,47,49,5
2015-05-04,2015-05-10,47,48,5
2015-04-27,2015-05-03,48,48,4
2015-04-20,2015-04-26,45,49,6
2015-04-13,2015-04-19,46,50,4
2015-04-06,2015-04-12,48,48,4
2015-03-30,2015-04-05,47,48,5
2015-03-23,2015-03-29,46,49,5
2015-03-16,2015-03-22,45,50,5
2015-03-09,2015-03-15,47,48,5
2015-03-02,2015-03-08,46,49,5
2015-02-23,2015-03-01,45,50,5
2015-02-16,2015-02-22,46,49,5
2015-02-09,2015-02-15,47,48,5
2015-02-02,2015-02-08,46,49,5
2015-01-26,2015-02-01,47,48,5
2015-01-19,2015-01-25,49,47,5
2015-01-12,2015-01-18,46,49,5
2015-01-05,2015-01-11,46,48,7
2014-12-29,2015-01-04,46,48,5
2014-12-22,2014-12-28,44,50,6
2014-12-15,2014-12-21,45,51,5
2014-12-08,2014-12-14,43,52,5
2014-12-01,2014-12-07,43,52,5
2014-11-24,2014-11-30,43,52,5
2014-11-17,2014-11-23,42,53,5
2014-11-10,2014-11-16,42,52,6
2014-11-03,2014-11-09,40,54,5
2014-10-27,2014-11-02,42,53,5
2014-10-20,2014-10-26,42,53,5
2014-10-13,2014-10-19,41,54,6
2014-10-06,2014-10-12,41,55,5
2014-09-29,2014-10-05,43,53,5
2014-09-22,2014-09-28,42,52,6
2014-09-15,2014-09-21,43,52,5
