file,date,source,num_sents,num_words,num_unique_words,NUM,ADV,SYM,NOUN,ADP,PROPN,DET,INTJ,AUX,CCONJ,ADJ,PRON,SCONJ,X,VERB,PUNCT,PART,emo,fear,anger,trust,surprise,positive,negative,sadness,disgust,joy,anticipation,TBsubjectivity,TBpolarity,char_count,syl_count,word_count,char_per_word,syl_per_word,sent_count,word_per_sent,dc_word_count,gf_word_count,poly_word_count,dc_word_perc,gf_word_perc,poly_word_perc,ari,flesch_kincaid,coleman_liau,dale_chall,gunning_fog,smog,parallel_count,parallel_per_sent,depth
./Data/barackobamairaqwarspeechfederalplaza.txt,2002-10-02,oba,48,993,460,0.0009478672985781991,0.024644549763033177,0.0,0.1895734597156398,0.11374407582938388,0.046445497630331754,0.0995260663507109,0.0,0.04549763033175355,0.04928909952606635,0.07203791469194312,0.0976303317535545,0.01990521327014218,0.0,0.10900473933649289,0.10710900473933649,0.024644549763033177,<nrclex.NRCLex object at 0x000002675A8291F0>,0.1744186046511628,0.1395348837209302,0.0813953488372093,0.0203488372093023,0.1104651162790697,0.2383720930232558,0.066860465116279,0.0755813953488372,0.0436046511627907,0.0494186046511627,0.5661663216011042,0.0367552334943639,4243,1420,944,4.494703389830509,1.5042372881355932,48,19.666666666666668,345,116,127,0.3654661016949153,0.1228813559322034,0.1345338983050847,9.573386299435027,9.830000000000002,9.123771186440678,15.52537641242938,12.781920903954804,12.42146322874865,8,0.1666666666666666,4.895833333333333
./Data/barackobamasenatespeechonohioelectoralvotes.txt,2005-01-06,oba,24,859,341,0.00563063063063063,0.04504504504504504,0.0,0.15315315315315314,0.11036036036036036,0.02927927927927928,0.09009009009009009,0.0,0.057432432432432436,0.04391891891891892,0.0472972972972973,0.12274774774774774,0.04391891891891892,0.0,0.125,0.08558558558558559,0.04054054054054054,<nrclex.NRCLex object at 0x000002675A829790>,0.0632911392405063,0.0696202531645569,0.170886075949367,0.0443037974683544,0.240506329113924,0.120253164556962,0.0759493670886076,0.0126582278481012,0.0696202531645569,0.1329113924050632,0.5696825396825398,0.1831462585034013,3481,1177,812,4.286945812807882,1.4495073891625616,24,33.833333333333336,212,87,97,0.2610837438423645,0.1071428571428571,0.1194581280788177,15.678181444991786,14.709187192118232,8.532364532019702,20.90384564860427,17.81904761904762,14.61394615700184,4,0.1666666666666666,8.041666666666666
./Data/barackobamasenatespeechrosaparks.txt,2005-10-25,oba,44,951,436,0.011976047904191617,0.028942115768463075,0.0,0.18063872255489022,0.10479041916167664,0.08982035928143713,0.07684630738522955,0.000998003992015968,0.038922155688622756,0.03093812375249501,0.059880239520958084,0.09381237524950099,0.03093812375249501,0.000998003992015968,0.11377245508982035,0.10179640718562874,0.03493013972055888,<nrclex.NRCLex object at 0x000002675A829670>,0.0505050505050505,0.0454545454545454,0.1818181818181818,0.0353535353535353,0.2676767676767677,0.1464646464646464,0.0505050505050505,0.0202020202020202,0.0959595959595959,0.106060606060606,0.4558354978354977,0.0914995408631772,4014,1345,893,4.4949608062709965,1.5061590145576709,44,20.295454545454547,330,96,114,0.3695408734602463,0.1075027995520716,0.1276595744680851,9.888992670263669,10.097903644507792,9.17191489361702,15.901595846482746,12.418293800264683,12.324508414480071,5,0.1136363636363636,5.5227272727272725
./Data/barackobamasenatefloorspeechpatriotact.txt,2005-12-15,oba,44,1072,447,0.003590664272890485,0.04308797127468582,0.0008976660682226212,0.15529622980251345,0.07091561938958707,0.03411131059245961,0.09066427289048475,0.0,0.06463195691202872,0.03321364452423698,0.05565529622980251,0.12387791741472172,0.0421903052064632,0.0,0.15170556552962297,0.08168761220825853,0.04847396768402154,<nrclex.NRCLex object at 0x000002675A829700>,0.1195652173913043,0.0815217391304347,0.1847826086956521,0.0163043478260869,0.1902173913043478,0.1902173913043478,0.0380434782608695,0.0489130434782608,0.0380434782608695,0.092391304347826,0.4736438923395444,0.085180584311019,4534,1538,1028,4.410505836575876,1.4961089494163424,44,23.363636363636363,326,127,136,0.3171206225680933,0.1235408560311284,0.1322957198443579,11.02530067209056,11.17590378493102,8.866848249027239,16.595698266713832,14.287088786699682,13.172668634160411,9,0.2045454545454545,5.363636363636363
./Data/barackobamasenatespeechoncorettascottkingpassing.txt,2006-01-31,oba,25,558,262,0.010291595197255575,0.03773584905660377,0.0,0.17152658662092624,0.12178387650085763,0.06174957118353345,0.08576329331046312,0.0,0.03430531732418525,0.051457975986277875,0.0548885077186964,0.12521440823327615,0.022298456260720412,0.0,0.10634648370497427,0.09262435677530018,0.024013722126929673,<nrclex.NRCLex object at 0x00000267567E2C40>,0.042016806722689,0.042016806722689,0.1764705882352941,0.0588235294117647,0.2521008403361344,0.1176470588235294,0.0840336134453781,0.042016806722689,0.1176470588235294,0.0672268907563025,0.4512049062049061,0.2208116883116883,2252,731,531,4.24105461393597,1.3766478342749529,25,21.24,151,42,51,0.2843691148775895,0.0790960451977401,0.096045197740113,9.16536723163842,8.938044444444444,7.743804143126173,15.025228323917135,11.659841807909604,11.288533730351634,4,0.16,5.76
./Data/barackobamasenatespeechonvotingrightsactrenewal.txt,2006-07-20,oba,77,1702,701,0.01566871852266368,0.038052602126468944,0.0,0.17627308337996642,0.10464465584778959,0.06715165081141578,0.08673754896474538,0.0,0.050923335198656966,0.038052602126468944,0.05484051482932289,0.08282036933407946,0.026860660324566313,0.0,0.11975377728035815,0.10576385002797986,0.032456631225517625,<nrclex.NRCLex object at 0x0000026756C0FE20>,0.0634441087613293,0.093655589123867,0.1450151057401812,0.0422960725075528,0.2537764350453172,0.1419939577039275,0.0634441087613293,0.0181268882175226,0.0785498489425981,0.0996978851963746,0.4372854997854996,0.1418959543959544,7373,2429,1599,4.611006879299563,1.519074421513446,77,20.766233766233768,596,193,220,0.3727329580988117,0.1207004377736085,0.1375859912445278,10.670959284617824,10.433909342689834,9.88732958098812,16.185505356432188,13.134511017437848,12.785403640627711,7,0.0909090909090909,5.909090909090909
./Data/barackobamabrownchapel.txt,2007-03-04,oba,221,4722,1217,0.004456147457970428,0.039497670650192426,0.0012153129430828439,0.1448247923840389,0.08264128012963338,0.041928296536358114,0.07899534130038485,0.00040510431436094796,0.070083046384444,0.03929511849301195,0.04800486125177233,0.13895077982580514,0.041725744379177636,0.0,0.1409763013976099,0.09317399230301802,0.033826210249139156,<nrclex.NRCLex object at 0x000002675BC5F9A0>,0.0906949352179034,0.071849234393404,0.1319199057714958,0.0506478209658421,0.2120141342756183,0.1342756183745583,0.0683156654888103,0.0294464075382803,0.0930506478209658,0.1177856301531213,0.484321640698045,0.1786678583588694,18747,6142,4493,4.172490540841308,1.3670153572223458,221,20.330316742081447,1146,404,436,0.2550634320053416,0.0899176496772757,0.0970398397507233,8.387588818403287,8.469604744635447,7.278290674382369,14.111288695436745,11.72883268392361,11.153120758963144,33,0.1493212669683258,4.959276018099548
./Data/barackobamasenatespeechiraqfederalismamendment.txt,2007-03-13,oba,65,1343,524,0.006382978723404255,0.02198581560283688,0.0,0.16312056737588654,0.09219858156028368,0.059574468085106386,0.10780141843971631,0.0,0.06170212765957447,0.0375886524822695,0.06950354609929078,0.0950354609929078,0.03404255319148936,0.0,0.12695035460992907,0.0950354609929078,0.029078014184397163,<nrclex.NRCLex object at 0x00000267568253A0>,0.1637630662020905,0.0696864111498257,0.0836236933797909,0.024390243902439,0.205574912891986,0.1707317073170731,0.0801393728222996,0.0418118466898954,0.0348432055749128,0.1254355400696864,0.4094339826839826,0.0157313852813852,5569,1869,1281,4.347384855581577,1.459016393442623,65,19.70769230769231,396,140,154,0.3091334894613583,0.1092896174863388,0.1202185792349726,8.900028823635381,9.312393442622952,8.260671350507415,14.656233183210231,12.254661622530476,11.922333744892017,6,0.0923076923076923,5.861538461538461
./Data/barackobamasenatefloorspeechoniraqwar4years.txt,2007-03-21,oba,72,1813,642,0.006305832895428271,0.0441408302679979,0.0,0.1791907514450867,0.08512874408828167,0.03205465055176038,0.08407777193904362,0.0,0.06621124540199684,0.049921177088807146,0.0630583289542827,0.11350499211770888,0.03520756699947451,0.0,0.12348922753547031,0.08302679978980557,0.03468208092485549,<nrclex.NRCLex object at 0x000002678A55E1C0>,0.142548596112311,0.0734341252699784,0.1101511879049676,0.0323974082073434,0.1879049676025918,0.1792656587473002,0.0777537796976241,0.0453563714902807,0.0647948164146868,0.0863930885529157,0.4648168978877639,0.1586204849393825,7544,2529,1752,4.30593607305936,1.4434931506849316,72,24.33333333333333,499,171,188,0.2848173515981735,0.0976027397260274,0.1073059360730593,11.017625570776254,10.933219178082194,8.302465753424652,16.566599315068494,13.637442922374431,12.360288348925252,12,0.1666666666666666,6.166666666666667
./Data/barackobamasenatefloorimmigration.txt,2007-05-23,oba,65,1505,566,0.010786802030456852,0.02918781725888325,0.0,0.18781725888324874,0.08819796954314721,0.02728426395939086,0.08375634517766498,0.0,0.05964467005076142,0.044416243654822336,0.07296954314720812,0.10596446700507614,0.03362944162436548,0.0,0.13451776649746192,0.08121827411167512,0.04060913705583756,<nrclex.NRCLex object at 0x000002675BC2EFD0>,0.0662020905923344,0.0452961672473867,0.2090592334494773,0.0383275261324041,0.2822299651567944,0.1149825783972125,0.0522648083623693,0.0209059233449477,0.0766550522648083,0.0940766550522648,0.4751991577263315,0.0747061845159671,6767,2300,1457,4.6444749485243655,1.578586135895676,65,22.41538461538461,487,209,239,0.334248455730954,0.1434454358270418,0.1640356897735072,11.653169315242067,11.77931640356898,10.188991077556622,16.395813885222534,14.70397127923552,14.083465009859346,10,0.1538461538461538,5.923076923076923
