,date,source,pos,proportion
107,2009-01-05,oba,PROPN,0.07440396463969998
108,2009-01-05,oba,SCONJ,0.07072060005357621
109,2009-01-05,oba,PART,0.07393517278328422
110,2009-01-05,oba,SYM,0.0
111,2009-01-05,oba,ADV,0.07453790517010447
112,2009-01-05,nyt,PRON,0.06666666666666667
113,2009-01-05,nyt,NUM,0.06764091858037578
114,2009-01-05,nyt,DET,0.06759452563210391
115,2009-01-05,nyt,VERB,0.0675017397355602
116,2009-01-05,nyt,AUX,0.06745534678728833
117,2009-01-05,nyt,PUNCT,0.06782649037346324
118,2009-01-05,nyt,CCONJ,0.06527487821851079
119,2009-01-05,nyt,INTJ,0.0
120,2009-01-05,nyt,NOUN,0.06778009742519137
121,2009-01-05,nyt,ADP,0.06754813268383206
122,2009-01-05,nyt,ADJ,0.06768731152864764
123,2009-01-05,nyt,PROPN,0.06559962885641382
124,2009-01-05,nyt,SCONJ,0.06740895383901647
125,2009-01-05,nyt,PART,0.06671305961493854
126,2009-01-05,nyt,SYM,0.059939689167246575
127,2009-01-05,nyt,ADV,0.0673625608907446
128,2009-01-05,wsj,PRON,0.06408086721858848
129,2009-01-05,wsj,NUM,0.06531583039838998
130,2009-01-05,wsj,DET,0.06792297488908201
131,2009-01-05,wsj,VERB,0.06810593239720075
132,2009-01-05,wsj,AUX,0.06806019302017106
133,2009-01-05,wsj,PUNCT,0.06833462928234918
134,2009-01-05,wsj,CCONJ,0.06787723551205233
135,2009-01-05,wsj,INTJ,0.0
136,2009-01-05,wsj,NOUN,0.06819741115126011
137,2009-01-05,wsj,ADP,0.0682431505282898
138,2009-01-05,wsj,ADJ,0.06815167177423044
139,2009-01-05,wsj,PROPN,0.06828888990531949
140,2009-01-05,wsj,SCONJ,0.06449252161185565
141,2009-01-05,wsj,PART,0.06714540547957737
142,2009-01-05,wsj,SYM,0.060238759548094954
143,2009-01-05,wsj,ADV,0.06554452728353839
144,2009-01-20,oba,PRON,0.06965024445280181
145,2009-01-20,oba,NUM,0.06651623417324809
146,2009-01-20,oba,DET,0.06977560486398396
147,2009-01-20,oba,VERB,0.06975053278174752
148,2009-01-20,oba,AUX,0.06867243324558105
149,2009-01-20,oba,PUNCT,0.06990096527516611
150,2009-01-20,oba,CCONJ,0.06970038861727466
151,2009-01-20,oba,INTJ,0.030136642848188542
152,2009-01-20,oba,NOUN,0.0694747398771468
153,2009-01-20,oba,ADP,0.06985082111069324
154,2009-01-20,oba,ADJ,0.06980067694622039
155,2009-01-20,oba,PROPN,0.06987589319292967
156,2009-01-20,oba,SCONJ,0.06849692866992604
157,2009-01-20,oba,PART,0.06899837031465464
158,2009-01-20,oba,SYM,0.0
159,2009-01-20,oba,ADV,0.06939952363043751
160,2009-01-20,nyt,PRON,0.06717527276807
161,2009-01-20,nyt,NUM,0.06257537935096626
162,2009-01-20,nyt,DET,0.0672313690292542
163,2009-01-20,nyt,VERB,0.06731551342103048
164,2009-01-20,nyt,AUX,0.0672033208986621
165,2009-01-20,nyt,PUNCT,0.06753989846576726
166,2009-01-20,nyt,CCONJ,0.06742770594339888
167,2009-01-20,nyt,INTJ,0.06495947045129442
168,2009-01-20,nyt,NOUN,0.06748380220458307
169,2009-01-20,nyt,ADP,0.06728746529043839
170,2009-01-20,nyt,ADJ,0.06745575407399097
171,2009-01-20,nyt,PROPN,0.06669845454800438
172,2009-01-20,nyt,SCONJ,0.06692283959274115
173,2009-01-20,nyt,PART,0.06571676997728101
174,2009-01-20,nyt,SYM,0.0
175,2009-01-20,nyt,ADV,0.06700698398451743
176,2009-01-20,wsj,PRON,0.06635854816824967
177,2009-01-20,wsj,NUM,0.060422320217096336
178,2009-01-20,wsj,DET,0.06763059701492537
179,2009-01-20,wsj,VERB,0.06741858887381276
180,2009-01-20,wsj,AUX,0.06466248303934871
181,2009-01-20,wsj,PUNCT,0.06796981004070557
182,2009-01-20,wsj,CCONJ,0.06695217096336499
183,2009-01-20,wsj,INTJ,0.06436567164179105
184,2009-01-20,wsj,NOUN,0.06788500678426052
185,2009-01-20,wsj,ADP,0.06758819538670285
186,2009-01-20,wsj,ADJ,0.06784260515603799
187,2009-01-20,wsj,PROPN,0.0676729986431479
188,2009-01-20,wsj,SCONJ,0.06610413839891452
189,2009-01-20,wsj,PART,0.0648320895522388
190,2009-01-20,wsj,SYM,0.005809023066485753
191,2009-01-20,wsj,ADV,0.06648575305291723
192,2009-04-02,oba,PRON,0.07059882935614588
193,2009-04-02,oba,NUM,0.05290409725348942
194,2009-04-02,oba,DET,0.0705087798289059
195,2009-04-02,oba,VERB,0.07068887888338586
196,2009-04-02,oba,AUX,0.07064385411976587
197,2009-04-02,oba,PUNCT,0.07082395317424584
198,2009-04-02,oba,CCONJ,0.07028365601080594
199,2009-04-02,oba,INTJ,0.0
200,2009-04-02,oba,NOUN,0.07055380459252589
201,2009-04-02,oba,ADP,0.07073390364700585
202,2009-04-02,oba,ADJ,0.06992345790184601
203,2009-04-02,oba,PROPN,0.059567762269248085
204,2009-04-02,oba,SCONJ,0.0679873930661864
205,2009-04-02,oba,PART,0.07014858171994597
206,2009-04-02,oba,SYM,0.04385411976587123
207,2009-04-02,oba,ADV,0.07077892841062584
208,2009-04-02,nyt,PRON,0.07040650406504065
209,2009-04-02,nyt,NUM,0.07018970189701897
210,2009-04-02,nyt,DET,0.07013550135501355
211,2009-04-02,nyt,VERB,0.07062330623306233
212,2009-04-02,nyt,AUX,0.06953929539295393
213,2009-04-02,nyt,PUNCT,0.0707859078590786
214,2009-04-02,nyt,CCONJ,0.06688346883468835
215,2009-04-02,nyt,INTJ,0.02119241192411924
216,2009-04-02,nyt,NOUN,0.07073170731707316
217,2009-04-02,nyt,ADP,0.07067750677506775
218,2009-04-02,nyt,ADJ,0.06970189701897019
219,2009-04-02,nyt,PROPN,0.0692140921409214
220,2009-04-02,nyt,SCONJ,0.07008130081300813
221,2009-04-02,nyt,PART,0.06926829268292684
222,2009-04-02,nyt,SYM,0.0
223,2009-04-02,nyt,ADV,0.07056910569105691
224,2009-04-02,wsj,PRON,0.07162456239947015
225,2009-04-02,wsj,NUM,0.06807644999526918
226,2009-04-02,wsj,DET,0.07171917873024884
227,2009-04-02,wsj,VERB,0.07148263790330212
228,2009-04-02,wsj,AUX,0.06637335604125272
229,2009-04-02,wsj,PUNCT,0.07190841139180623
230,2009-04-02,wsj,CCONJ,0.07167187056485949
231,2009-04-02,wsj,INTJ,0.0
232,2009-04-02,wsj,NOUN,0.07152994606869145
233,2009-04-02,wsj,ADP,0.07181379506102753
234,2009-04-02,wsj,ADJ,0.071056864414798
235,2009-04-02,wsj,PROPN,0.07186110322641688
236,2009-04-02,wsj,SCONJ,0.07020531743778977
237,2009-04-02,wsj,PART,0.06642066420664207
238,2009-04-02,wsj,SYM,0.016889015043996595
239,2009-04-02,wsj,ADV,0.06736682751442899
240,2009-04-15,oba,PRON,0.06413556043044928
241,2009-04-15,oba,NUM,0.06345326723438066
242,2009-04-15,oba,DET,0.06417010692138946
243,2009-04-15,oba,VERB,0.06416147029865442
244,2009-04-15,oba,AUX,0.06403192095762873
245,2009-04-15,oba,PUNCT,0.0642132900350647
246,2009-04-15,oba,CCONJ,0.06398010122121846
247,2009-04-15,oba,INTJ,0.05353842433454822
248,2009-04-15,oba,NOUN,0.06407510407130396
249,2009-04-15,oba,ADP,0.06419601678959459
250,2009-04-15,oba,ADJ,0.0641787435441245
251,2009-04-15,oba,PROPN,0.06420465341232964
252,2009-04-15,oba,SCONJ,0.06393691810754322
253,2009-04-15,oba,PART,0.06360008982087645
254,2009-04-15,oba,SYM,0.05023059782702572
255,2009-04-15,oba,ADV,0.063893734993868
256,2009-04-15,nyt,PRON,0.07048511047070125
257,2009-04-15,nyt,NUM,0.05121277617675312
258,2009-04-15,nyt,DET,0.06922430355427474
259,2009-04-15,nyt,VERB,0.06964457252641691
260,2009-04-15,nyt,AUX,0.07054514889529298
261,2009-04-15,nyt,PUNCT,0.0707252641690682
262,2009-04-15,nyt,CCONJ,0.06862391930835735
263,2009-04-15,nyt,INTJ,0.0
264,2009-04-15,nyt,NOUN,0.07060518731988473
265,2009-04-15,nyt,ADP,0.06706292026897215
266,2009-04-15,nyt,ADJ,0.06928434197886647
267,2009-04-15,nyt,PROPN,0.06478146013448607
268,2009-04-15,nyt,SCONJ,0.07042507204610951
269,2009-04-15,nyt,PART,0.0699447646493756
270,2009-04-15,nyt,SYM,0.04707012487992315
271,2009-04-15,nyt,ADV,0.07036503362151778
272,2009-04-15,wsj,PRON,0.06961315641936086
273,2009-04-15,wsj,NUM,0.06559521584750513
274,2009-04-15,wsj,DET,0.07017379928985236
275,2009-04-15,wsj,VERB,0.06998691833302187
276,2009-04-15,wsj,AUX,0.06970659689777611
277,2009-04-15,wsj,PUNCT,0.07036068024668286
278,2009-04-15,wsj,CCONJ,0.06821154924313212
279,2009-04-15,wsj,INTJ,0.0
280,2009-04-15,wsj,NOUN,0.07026723976826761
281,2009-04-15,wsj,ADP,0.07008035881143712
282,2009-04-15,wsj,ADJ,0.06905251354886938
283,2009-04-15,wsj,PROPN,0.04700056064287049
284,2009-04-15,wsj,SCONJ,0.06951971594094562
285,2009-04-15,wsj,PART,0.06980003737619137
286,2009-04-15,wsj,SYM,0.05073817977948047
287,2009-04-15,wsj,ADV,0.06989347785460662
288,2009-05-22,oba,PRON,0.07152608773075325
289,2009-05-22,oba,NUM,0.07123919194317485
290,2009-05-22,oba,DET,0.07157555252171505
291,2009-05-22,oba,VERB,0.07156565956352269
292,2009-05-22,oba,AUX,0.0714172651906373
293,2009-05-22,oba,PUNCT,0.07162501731267684
