date,title,url
17 May 2009,Joint Press Remarks with Benjamin Netanyahu,speeches/barackobama/barackobamajointpressbenjaminnetanyahu.htm
18 May 2009,Notre Dame University Commencement Speech,speeches/barackobama/barackobamanotredamecommencement.htm
21 May 2009,National Security Speech at the National Archives,speeches/barackobama/barackobamanationalarchives.htm
29 May 2009,Speech on Securing U.S. Cybersecurity Infrastructure,speeches/barackobama/barackobamacybersecurity.htm
04 Jun 2009,"""New Beginning"" Speech at Cairo University",speeches/barackobama/barackobamacairouniversity.htm
04 Jun 2009,Speech at Buchenwald Concentration Camp,speeches/barackobama/barackobamabuchenwaldconcentrationcamp.htm
05 Jun 2009,Speech Marking the 65th Anniversary of D-Day,speeches/barackobama/barackobamadday65anniversary.htm
15 Jun 2009,American Medical Association Speech,speeches/barackobama/barackobamaamericanmedicalassociation.htm
23 Jun 2009,On the Dignity & Courage of the Iranian Peoples,speeches/barackobama/barackobamauprisingiran.htm
23 Jun 2009,Third Prime Time Press Conference (Iran & Heath Care),speeches/barackobama/barackobamapressconferenceiranandhealthcare.htm
07 Jul 2009,Moscow New Economic School Speech,speeches/barackobama/barackobamaneweconomicschool.htm
11 Jul 2009,Ghanaian Parliament Address,speeches/barackobama/barackobamaghanaparliament.htm
13 Jul 2009,Nomination of Regina Benjamin for Surgeon General,speeches/barackobama/barackobamasurgeongeneralnomination.htm
14 Jul 2009,American Graduation Initiative Speech,speeches/barackobama/barackobamaamericangraduationinitiative.htm
29 Aug 2009,Eulogy for Ted Kennedy,speeches/barackobama/barackobamaeulogytedkennedy.htm
08 Sep 2009,Back-to-School Speech to America's Schoolchildren,speeches/barackobama/barackobamabacktoschoolspeech.htm
09 Sep 2009,Eulogy for Walter Cronkite,speeches/barackobama/barackobamawaltercronkiteeulogy.htm
09 Sep 2009,Joint Session of Congress Heath Care Speech,speeches/barackobama/barackobamajointsessionhealthcare.htm
11 Sep 2009,9/11 Pentagon Memorial Speech,speeches/barackobama/barackobama911pentagonmemorialspeech.htm
23 Sep 2009,United Nations 64th Session General Assembly Speech,speeches/barackobama/barackobamaunitednations64.htm
10 Nov 2009,Fort Hood Memorial Service Speech,speeches/barackobama/barackobamaforthoodmemorial.htm
16 Nov 2009,Town Hall Address in Shanghai,speeches/barackobama/barackobamashanghaitownhall.htm
01 Dec 2009,Afghanistan Troop Surge at the U.S. Military Academy,speeches/barackobama/barackobamawestpointafghanistan.htm
06 Dec 2009,Kennedy Center Honorees Address,speeches/barackobama/barackobamakennedycenterhonorees2009.htm
08 Dec 2009,Brookings Institution Speech on Job Creation,speeches/barackobama/barackobamabrookingsinstitute.htm
10 Dec 2009,Nobel Prize for Peace Speech and Lecture,speeches/barackobama/barackobamanobelprizespeech.htm
18 Dec 2009,UN Copenhagen Climate Change Conference Speech,speeches/barackobama/barackobamaunitednationsclimatechange.htm
28 Dec 2009,On NW Flight 253 Terrorist Threat and Iran Violence,speeches/barackobama/barackobamaflight253terrorismiranviolence.htm
