date,title,url,beg,end,approval,disapproval,no opinon
2013-04-19,Third Statement on Boston Marathon Bombings,Data/barackobamabostonmarathonexplosionsthirdstatement.txt,2013-04-15,2013-04-21,50.0,43.0,7.0
2013-04-25,George W. Bush Presidential Library Dedication Speech,Data/barackobamagwbushlibrarydedication.txt,2013-04-22,2013-04-28,51.0,42.0,7.0
2013-04-25,West Fertilizer Plant Tragedy Memorial Speech,Data/barackobamawestfertilizerplantmemorial.txt,2013-04-22,2013-04-28,51.0,42.0,7.0
2013-04-27,White House Correspondents Dinner Speech,Data/barackobamawhitehousecorrespondentsdinner2013.txt,2013-04-22,2013-04-28,51.0,42.0,7.0
2013-04-30,Press Q&A on Syria and Sundry Topics,Data/barackobamasyriaetalpresser.txt,2013-04-29,2013-05-05,50.0,44.0,6.0
2013-05-03,Speech to the People of Mexico,Data/barackobamamexicopeople.txt,2013-04-29,2013-05-05,50.0,44.0,6.0
2013-05-15,Remarks on IG Audit of the IRS,Data/barackobamairsmisconduct.txt,2013-05-13,2013-05-19,49.0,44.0,6.0
2013-05-19,Morehouse College Commencement Address,Data/barackobamamorehousecollegecommencement.txt,2013-05-13,2013-05-19,49.0,44.0,6.0
2013-05-23,National Defense University Speech on Terrorism,Data/barackobamanationaldefenseuniversity.txt,2013-05-20,2013-05-26,49.0,44.0,8.0
2013-05-24,U.S. Naval Academy Commencement Address,Data/barackobamanavalacademycommencement.txt,2013-05-20,2013-05-26,49.0,44.0,8.0
2013-06-07,On Affordable Care Act and Domestic Surveillance,Data/barackobamasanjosesurveillance.txt,2013-06-03,2013-06-09,48.0,45.0,8.0
2013-06-11,US Senate Call to Comprehensive Immigration Reform,Data/barackobamaimmigrationreformcomprehensive.txt,2013-06-10,2013-06-16,47.0,46.0,8.0
2013-06-17,Northern Ireland Speech,Data/barackobamanorthernireland.txt,2013-06-17,2013-06-23,46.0,46.0,8.0
2013-06-19,Brandenburg Gate Speech,Data/barackobamabrandenburggate.txt,2013-06-17,2013-06-23,46.0,46.0,8.0
2013-06-30,Cape Town University Speech,Data/barackobamacapetownuniversity.txt,2013-06-24,2013-06-30,47.0,45.0,8.0
2013-07-19,Speech on Trayvon Martin,Data/barackobamatrayvonmartin.txt,2013-07-15,2013-07-21,47.0,46.0,7.0
2013-07-24,Knox College Speech on the Economy,Data/barackobamaknoxcollegeeconomy.txt,2013-07-22,2013-07-28,46.0,47.0,8.0
2013-07-27,Korean War Armistice Signing 60th Anniversary Speech,Data/barackobamakoreanwar60tharmistice.txt,2013-07-22,2013-07-28,46.0,47.0,8.0
2013-08-09,Intelligence Gathering Reform Press Conference,Data/barackobamaintelreformpresser.txt,2013-08-05,2013-08-11,44.0,48.0,8.0
2013-08-28,'Let Freedom Ring' Ceremony Speech,Data/barackobamaletfreedomringceremony.txt,2013-08-26,2013-09-01,44.0,48.0,8.0
2013-08-31,On Syrian Government Use of Chemical Weapons,Data/barackobamasyriachemicalweapons.txt,2013-08-26,2013-09-01,44.0,48.0,8.0
2013-09-10,Speech to the Nation on Syria,Data/barackobamasyrianation.txt,2013-09-09,2013-09-15,45.0,46.0,9.0
2013-09-22,Navy Yard Shooting Memorial Speech,Data/barackobamanavyyardshootingmemorial.txt,2013-09-16,2013-09-22,44.0,47.0,8.0
2013-09-24,On Health Care at WJClinton Global Initiative,Data/barackobamaclintonglobalinitiative.txt,2013-09-23,2013-09-29,45.0,48.0,7.0
2013-09-24,United Nations 68th Session General Assembly Speech,Data/barackobamaunitednations68.txt,2013-09-23,2013-09-29,45.0,48.0,7.0
2013-10-02,Government Shutdown Statement,Data/barackobamagovernmentshutdown.txt,2013-09-30,2013-10-06,44.0,50.0,7.0
2013-10-21,Affordable Care Act Website Issues Address,Data/barackobamaaffordablecareactwebsiteproblems.txt,2013-10-21,2013-10-27,43.0,50.0,7.0
2013-11-11,Veterans Day Address,Data/barackobamaveteransday2013.txt,2013-11-11,2013-11-17,41.0,52.0,7.0
2013-11-14,Affordable Care Act Changes Press Conference,Data/barackobamaaffordablecareactchanges.txt,2013-11-11,2013-11-17,41.0,52.0,7.0
2013-11-23,Iran Accord Statement,Data/barackobamairanaccordstatement.txt,2013-11-18,2013-11-24,40.0,53.0,7.0
2013-12-05,"On the Passing of Nelson ""Madiba"" Mandela",Data/barackobamamandelapassing.txt,2013-12-02,2013-12-08,41.0,51.0,9.0
2013-12-10,Address at the Public Memorial for Nelson Mandela,Data/barackobamanelsonmandelamemorial.txt,2013-12-09,2013-12-15,42.0,50.0,9.0
2013-12-20,End of Year Press Conference,Data/barackobamafinal2013presser.txt,2013-12-16,2013-12-22,40.0,52.0,8.0
2014-01-17,On Proposed Changes to US Intelligence Programs,Data/barackobamasignalsintelreview.txt,2014-01-13,2014-01-19,40.0,52.0,9.0
2014-02-06,Speech at the 62nd National Prayer Breakfast,Data/barackobama2014prayerbreakfast.txt,2014-02-03,2014-02-09,41.0,51.0,8.0
2014-03-26,Speech to European Youth in Belgium,Data/barackobamaeuropeanyouth.txt,2014-03-24,2014-03-30,43.0,52.0,5.0
2014-04-10,Civil Rights Summit Keynote Speech,Data/barackobamaaustincivilrights.txt,2014-04-07,2014-04-13,43.0,51.0,6.0
2014-04-17,Press Conference on Affordable Care Act and Ukraine,Data/barackobamapressconference04-17-14.txt,2014-04-14,2014-04-20,44.0,50.0,6.0
2014-04-24,Joint Presser with Japan Prime Minister Shinzo Abe,Data/barackobamapmabejapanjointpresser.txt,2014-04-21,2014-04-27,44.0,50.0,5.0
2014-04-27,Young Leaders Town Hall Malaysia,Data/barackobamaYSEALIMalaysia.txt,2014-04-21,2014-04-27,44.0,50.0,5.0
2014-04-28,Joint Presser with Philippine President Aquino,Data/barackobamabenignoaquinojointpresser.txt,2014-04-28,2014-05-04,44.0,50.0,6.0
2014-04-29,Fort Bonifacio Address,Data/barackobamafortbonifacio.txt,2014-04-28,2014-05-04,44.0,50.0,6.0
2014-05-03,White House Correspondents Dinner Speech,Data/barackobamawhitehousecorrespondentsdinner2014.txt,2014-04-28,2014-05-04,44.0,50.0,6.0
2014-05-21,On Misconduct Allegations at the VA,Data/barackobamavamisconductallegations.txt,2014-05-19,2014-05-25,43.0,52.0,5.0
2014-05-27,Statement on Afghanistan,Data/barackobamastatementonafghanistan.txt,2014-05-26,2014-06-01,44.0,51.0,5.0
2014-05-28,U.S. Military Academy Commencement Address,Data/barackobamawestpointcommencement2014.txt,2014-05-26,2014-06-01,44.0,51.0,5.0
2014-05-30,Presser on VA Department Misconduct,Data/barackobamaveteransaffairsmisconduct.txt,2014-05-26,2014-06-01,44.0,51.0,5.0
2014-06-04,Polish Freedom Day Anniversary Address,Data/barackobamafreedomdaypoland.txt,2014-06-02,2014-06-08,44.0,50.0,6.0
2014-06-06,70th Anniversary of D-Day Address,Data/barackobamadday70.txt,2014-06-02,2014-06-08,44.0,50.0,6.0
2014-06-30,Immigration Reform and Border Security,Data/barackobamaimmigrationbordersecurity.txt,2014-06-30,2014-07-06,43.0,52.0,5.0
2014-07-18,On the Downing of Malaysian Airlines Flight 17,Data/barackobamaflightmh17.txt,2014-07-14,2014-07-20,43.0,51.0,6.0
2014-07-21,SSG Ryan Pitts Medal of Honor Ceremony Speech,Data/barackobamaryanpittsmedalofhonor.txt,2014-07-21,2014-07-27,41.0,53.0,7.0
2014-08-01,Presser on Executive Action and Foreign Policy,Data/barackobamaeconomyforeignpolicy.txt,2014-07-28,2014-08-03,42.0,54.0,5.0
2014-08-07,On Air Strikes and Humanitarian Effort in Iraq,Data/barackobamairaqairstrikehumanitarianeffort.txt,2014-08-04,2014-08-10,42.0,52.0,6.0
2014-08-09,Update on Air Strikes and Humanitarian Aid in Iraq,Data/barackobamairaqairstrikehumanitarianeffortupdate.txt,2014-08-04,2014-08-10,42.0,52.0,6.0
2014-08-14,"On Iraq and Ferguson, Missouri Situation",Data/barackobamafergusonmissouri.txt,2014-08-11,2014-08-17,41.0,53.0,6.0
2014-08-28,"Press Statement on the Economy, Iraq, and Ukraine",Data/barackobamairaqukraine.txt,2014-08-25,2014-08-31,41.0,53.0,7.0
2014-09-03,Joint Presser with Toomas Ilves,Data/barackobamajointpressertoomasilves.txt,2014-09-01,2014-09-07,40.0,53.0,7.0
2014-09-03,Address to the People of Estonia,Data/barackobamaestoniapeople.txt,2014-09-01,2014-09-07,40.0,53.0,7.0
2014-09-10,Speech to the Nation on ISIL,Data/barackobamaisilspeechtonation.txt,2014-09-08,2014-09-14,41.0,54.0,5.0
2014-09-16,Speech on Ebola Response at the CDC,Data/barackobamaebolacdc.txt,2014-09-15,2014-09-21,43.0,52.0,5.0
2014-09-24,United Nations 69th Session General Assembly Speech,Data/barackobamaunitednations69.txt,2014-09-22,2014-09-28,42.0,52.0,6.0
2014-09-24,United Nations Security Council Remarks,Data/barackobamaunitednationssecuritycouncil2014.txt,2014-09-22,2014-09-28,42.0,52.0,6.0
2014-09-25,United Nations Meeting on Ebola Speech,Data/barackobamaunitednationsebola.txt,2014-09-22,2014-09-28,42.0,52.0,6.0
2014-10-17,Speech On Signing Executive Order 13681 at the CFPB,Data/barackobamexecutiveorder13681acfpb.txt,2014-10-13,2014-10-19,41.0,54.0,6.0
2014-10-28,Ebola Response Update Speech,Data/barackobamaebolaresponseupdate.txt,2014-10-27,2014-11-02,42.0,53.0,5.0
2014-11-05,Midterm Elections Press Conference,Data/barackobamamidtermrepublicanvictorypresser.txt,2014-11-03,2014-11-09,40.0,54.0,5.0
2014-11-14,Joint Press Conference with Daw Aung San Suu Kyi,Data/barackobamasuukyipresser.txt,2014-11-10,2014-11-16,42.0,52.0,6.0
2014-11-14,Young Leaders Town Hall Myanmar/Burma,Data/barackobamaYSEALIMyanmar.txt,2014-11-10,2014-11-16,42.0,52.0,6.0
2014-11-15,Queensland University Address,Data/barackobamaqueenslanduniversity.txt,2014-11-10,2014-11-16,42.0,52.0,6.0
2014-11-20,National Immigration Policy Address,Data/barackobamaimmigrationnationalpolicy.txt,2014-11-17,2014-11-23,42.0,53.0,5.0
2014-11-24,On Ferguson Grand Jury Decision,Data/barackobamafergusongrandjury.txt,2014-11-24,2014-11-30,43.0,52.0,5.0
2014-12-02,NIH Ebola Vaccine Research Address,Data/barackobamaebolavaccineNIH.txt,2014-12-01,2014-12-07,43.0,52.0,5.0
2014-12-17,Cuba Detente Policy Address,Data/barackobamacubapolicychanges.txt,2014-12-15,2014-12-21,45.0,51.0,5.0
2014-12-19,End of Year Press Conference,Data/barackobamafinal2014presser.txt,2014-12-15,2014-12-21,45.0,51.0,5.0
2015-01-09,American's College Promise Address,Data/barackobamacommunitycollegefreeplan.txt,2015-01-05,2015-01-11,46.0,48.0,7.0
2015-01-12,Federal Trade Commission Address,Data/barackobamaftc2014.txt,2015-01-12,2015-01-18,46.0,49.0,5.0
2015-01-13,National Cybersecurity Communication Center Speech,Data/barackobamanccic.txt,2015-01-12,2015-01-18,46.0,49.0,5.0
2015-01-27,Speech to the People of India in New Delhi,Data/barackobamaindia2015.txt,2015-01-26,2015-02-01,47.0,48.0,5.0
2015-02-05,Speech at the 63rd National Prayer Breakfast,Data/barackobama2015prayerbreakfast.txt,2015-02-02,2015-02-08,46.0,49.0,5.0
2015-02-11,On Force Authorization Request Against ISIL,Data/barackobamaISILforceauthorization.txt,2015-02-09,2015-02-15,47.0,48.0,5.0
2015-02-13,Stanford University Cybersecurity Summit Address,Data/barackobamastanfordcybersecurity.txt,2015-02-09,2015-02-15,47.0,48.0,5.0
2015-02-18,Countering Violent Religious Extremism Summit,Data/barackobamaviolentreligiousextremism.txt,2015-02-16,2015-02-22,46.0,49.0,5.0
2015-03-03,On Iran and Netanyahu's Speech to Congress,Data/barackobamairanpmnetanyahucongressspeech.txt,2015-03-02,2015-03-08,46.0,49.0,5.0
2015-03-07,Selma March 50-Year Anniversary Address,Data/barackobamaselma50anniversarymarch.txt,2015-03-02,2015-03-08,46.0,49.0,5.0
2015-03-10,Student Aid Bill of Rights Announcement,Data/barackobamastudentaidbillofrights.txt,2015-03-09,2015-03-15,47.0,48.0,5.0
2015-03-30,Edward M. Kennedy Institute Dedication Speech,Data/barackobamatedkennedyinstitutededication.txt,2015-03-30,2015-04-05,47.0,48.0,5.0
2015-04-02,Statement on Iran Nuclear Agreement,Data/barackobamairannuclearagreement.txt,2015-03-30,2015-04-05,47.0,48.0,5.0
2015-04-09,Young Leaders Town Hall in Jamaica,Data/barackobamaYLAIJamaica.txt,2015-04-06,2015-04-12,48.0,48.0,4.0
2015-04-10,Civil Society Forum Address in Panama,Data/barackobamacivilsocietyforum.txt,2015-04-06,2015-04-12,48.0,48.0,4.0
2015-04-11,Press Conference Following Summit of the Americas,Data/barackobamapanamapostpresser.txt,2015-04-06,2015-04-12,48.0,48.0,4.0
2015-04-11,Summit of the Americas First Plenary Session,Data/barackobamasummitamericasplenarysession.txt,2015-04-06,2015-04-12,48.0,48.0,4.0
2015-04-23,On Hostages Warren Weinstein and Giovanni Lo Porto,Data/barackobamahostagedronedeaths.txt,2015-04-20,2015-04-26,45.0,49.0,6.0
2015-04-25,White House Correspondents Dinner Speech,Data/barackobamawhitehousecorrespondentsdinner2015.txt,2015-04-20,2015-04-26,45.0,49.0,6.0
2015-05-08,Transpacific Trade Pact Speech at Nike HQ,Data/barackobamatradenike.txt,2015-05-04,2015-05-10,47.0,48.0,5.0
2015-05-22,National Jewish American Heritage Month Address,Data/barackobamaadasisraelcongregation.txt,2015-05-18,2015-05-24,46.0,49.0,5.0
2015-06-01,Southeast Asian Youth Imitative Fellows Address,Data/barackobamaYSEALIWashingtonDC.txt,2015-06-01,2015-06-07,46.0,49.0,5.0
2015-06-06,Eulogy for Beau Biden III,Data/barackobamabeaubideneulogy.txt,2015-06-01,2015-06-07,46.0,49.0,5.0
2015-06-08,Post G7 Conference Presser,Data/barackobamaG7conference2015.txt,2015-06-08,2015-06-14,45.0,49.0,5.0
2015-06-17,Loretta Lynch Investiture Ceremony Address,Data/barackobamalorettalynchinvestiture.txt,2015-06-15,2015-06-21,45.0,50.0,6.0
2015-06-18,On the Charleston Emanuel AME Church Shooting,Data/barackobamasouthcarolinashooting.txt,2015-06-15,2015-06-21,45.0,50.0,6.0
2015-06-19,U.S. Conference of Mayors Address,Data/barackobamamayorsconference2015.txt,2015-06-15,2015-06-21,45.0,50.0,6.0
2015-06-24,Hostage Policy Review Statement,Data/barackobamahostagepolicyreview.txt,2015-06-22,2015-06-28,47.0,49.0,5.0
2015-06-25,On the USSC Ruling on the Affordable Care Act,Data/barackobamaaffordablecareactUSSC.txt,2015-06-22,2015-06-28,47.0,49.0,5.0
2015-06-26,Eulogy for Revered Clementa C. Pinckney,Data/barackobamaclementapinckneyeulogy.txt,2015-06-22,2015-06-28,47.0,49.0,5.0
2015-07-06,Pentagon Address on Defeating the Islamic State,Data/barackobamaisilprogresspentagon.txt,2015-07-06,2015-07-12,46.0,49.0,5.0
2015-07-13,Address at White House Aging Conference,Data/barackobamaagingconference.txt,2015-07-13,2015-07-19,46.0,48.0,6.0
2015-07-14,Iran Nuclear Accord Agreement Announcement,Data/barackobamairannucleardealfinal.txt,2015-07-13,2015-07-19,46.0,48.0,6.0
2015-07-14,NAACP Convention Address,Data/barackobamanaacp2015.txt,2015-07-13,2015-07-19,46.0,48.0,6.0
2015-07-15,Post Iran Nuclear Accord Agreement Press Conference,Data/barackobamairannuclearaccordfinalpresser.txt,2015-07-13,2015-07-19,46.0,48.0,6.0
2015-07-26,Kenya Civil Society Meeting,Data/barackobamakenyacivilsociety.txt,2015-07-20,2015-07-26,46.0,50.0,5.0
2015-07-26,Address to the People of Kenya,Data/barackobamakenyapeople.txt,2015-07-20,2015-07-26,46.0,50.0,5.0
2015-07-28,Address to African Continent Representatives,Data/barackobamaafricancontinentreps.txt,2015-07-27,2015-08-02,46.0,49.0,5.0
2015-08-03,Clean Power Plan Announcement,Data/barackobamacleanpowerplan.txt,2015-08-03,2015-08-09,46.0,50.0,4.0
2015-08-05,Iran Nuclear Deal Address at American University,Data/barackobamairanamericanuniversity.txt,2015-08-03,2015-08-09,46.0,50.0,4.0
2015-08-27,On Hurricane Katrina & 10-Year Aftermath,Data/barackobamakatrinahurricane10years.txt,2015-08-24,2015-08-30,46.0,50.0,4.0
2015-09-11,Worldwide Troop Talk at Fort Meade,Data/barackobamaworldwidetrooptalk.txt,2015-09-07,2015-09-13,46.0,49.0,5.0
2015-09-19,Congressional Black Caucus Awards Dinner Address,Data/barackobamacongressionalblackcaucus2015.txt,2015-09-14,2015-09-20,46.0,51.0,4.0
2015-09-23,Pope Francis White House Welcome Address,Data/barackobamapopefranciswhitehousewelcome.txt,2015-09-21,2015-09-27,48.0,49.0,3.0
2015-09-25,Joint Press Conference with President Xi Jinping,Data/barackobamaxijinpingrosegardenpresser2015.txt,2015-09-21,2015-09-27,48.0,49.0,3.0
2015-09-25,Gen. Martin Dempsey Retirement Ceremony Address,Data/barackobamamartindempseyretirement.txt,2015-09-21,2015-09-27,48.0,49.0,3.0
2015-09-28,United Nations 70th Session General Assembly Speech,Data/barackobamaunitednations70.txt,2015-09-28,2015-10-04,47.0,49.0,5.0
2015-10-01,On Umpqua Community College Mass Shooting,Data/barackobamaumpquashootings.txt,2015-09-28,2015-10-04,47.0,49.0,5.0
2015-10-02,Presser on Education Secretary Change,Data/barackobamapressconference10-02-15.txt,2015-09-28,2015-10-04,47.0,49.0,5.0
2015-10-15,Afghanistan Statement,Data/barackobamaafghanistanstatement.txt,2015-10-12,2015-10-18,46.0,50.0,4.0
2015-10-21,Community Forum Address on Prescription Drug Abuse,Data/barackobamawestvirginiacommunityforum.txt,2015-10-19,2015-10-25,46.0,50.0,4.0
2015-11-13,Statement on the Paris Terrorist Attacks,Data/barackobamaparisterrorattacks.txt,2015-11-09,2015-11-15,49.0,47.0,4.0
2015-11-13,Message to the People of Burundi,Data/barackobamaburundipeoplemessage.txt,2015-11-09,2015-11-15,49.0,47.0,4.0
2015-11-16,"G-20 Press Conference in Antalya, Turkey",Data/barackobamaturkeypresser.txt,2015-11-16,2015-11-22,44.0,52.0,4.0
2015-11-21,ASEAN Business and Investment Summit Address,Data/barackobamaASEAN2015.txt,2015-11-16,2015-11-22,44.0,52.0,4.0
2015-11-22,Malaysia Press Conference,Data/barackobamamalaysiapresser2015.txt,2015-11-16,2015-11-22,44.0,52.0,4.0
2015-11-24,Joint Press Conference with Francois Hollande,Data/barackobamafrancoishollandpresser.txt,2015-11-23,2015-11-29,46.0,49.0,5.0
2015-11-30,"COP21, Session 1 Address",Data/barackobamacop21.txt,2015-11-30,2015-12-06,47.0,49.0,4.0
2015-12-01,Paris Press Conference,Data/barackobamaparispressconference.txt,2015-11-30,2015-12-06,47.0,49.0,4.0
2015-12-06,On Foreign and Domestic Strategies Against Terrorism,Data/barackobamaforeigndomesticterrorismresponseovaloffice.txt,2015-11-30,2015-12-06,47.0,49.0,4.0
2015-12-09,113th Amendment 150-Year Anniversary Speech,Data/barackobama13thamendment150anniversary.txt,2015-12-07,2015-12-13,45.0,50.0,5.0
2015-12-10,Every Child Succeeds Act Signing Address,Data/barackobamaeverystudentsucceeds.txt,2015-12-07,2015-12-13,45.0,50.0,5.0
2015-12-12,Statement on Paris Climate Agreement,Data/barackobamaparisclimateagreement.txt,2015-12-07,2015-12-13,45.0,50.0,5.0
2015-12-14,Counter ISIL Campaign Update,Data/barackobamacounterISILupdate12-14-15.txt,2015-12-14,2015-12-20,45.0,51.0,5.0
2015-12-15,Naturalization Ceremony Speech at the Natl. Archives,Data/barackobamanaturalizationnationalarchives.txt,2015-12-14,2015-12-20,45.0,51.0,5.0
2015-12-17,Address at the National Counterterrorism Center,Data/barackobamanationalcounterterrorismcenter.txt,2015-12-14,2015-12-20,45.0,51.0,5.0
2015-12-18,End of Year Press Conference,Data/barackobamafinal2015presser.txt,2015-12-14,2015-12-20,45.0,51.0,5.0
2016-01-01,Weekly Address on Making Children's Safety,Data/barackobamaweekly1-1-16.txt,2015-12-28,2016-01-03,45.0,52.0,4.0
2016-01-05,Speech Detailing Steps to Reduce Gun Violence,Data/barackobamagunviolencereduction.txt,2016-01-04,2016-01-10,47.0,49.0,4.0
2016-01-07,Remarks at CNN Town Hall on Guns in America,Data/barackobamagunsinamericancnntownhall.txt,2016-01-04,2016-01-10,47.0,49.0,4.0
2016-01-17,On Lifting Iran Sanctions and U.S. Detainee Releases,Data/barackobamairansanctionslifted.txt,2016-01-11,2016-01-17,48.0,47.0,5.0
2016-01-27,Righteous Among Nations Award Ceremony Address,Data/barackobamarighteousamongnationsceremony.txt,2016-01-25,2016-01-31,48.0,48.0,4.0
2016-02-03,Islamic Society of Baltimore Speech,Data/barackobamaislamicsocietybaltimore.txt,2016-02-01,2016-02-07,47.0,50.0,3.0
2016-02-04,Honoring Golden State Warriors 2015 NBA Champs,Data/barackobamagoldenstatewarriors.txt,2016-02-01,2016-02-07,47.0,50.0,3.0
2016-02-04,Speech at the 64th National Prayer Breakfast,Data/barackobama2016prayerbreakfast.txt,2016-02-01,2016-02-07,47.0,50.0,3.0
2016-02-10,Address to the Illinois General Assembly,Data/barackobamailliinoisgeneralassembly.txt,2016-02-08,2016-02-14,48.0,48.0,4.0
2016-02-13,Address on the Passing of USSC Justice Antonin Scalia,Data/barackobamaantoninscaliapassing.txt,2016-02-08,2016-02-14,48.0,48.0,4.0
2016-02-16,U.S-ASEAN Summit Press Conference,Data/barackobamaASEANpresser.txt,2016-02-15,2016-02-21,48.0,48.0,4.0
2016-02-20,Weekly Address - A New Chapter with Cuba,Data/barackobamaweeklyaddresscubanewchapter.txt,2016-02-15,2016-02-21,48.0,48.0,4.0
2016-02-23,On Closing Guantanamo Bay Detention Facility,Data/barackobamaguantanamobayclosing.txt,2016-02-22,2016-02-28,48.0,47.0,5.0
2016-02-25,Update on Progress to Degrade and Destroy ISIL,Data/barackobamaISILupdate.txt,2016-02-22,2016-02-28,48.0,47.0,5.0
2016-02-26,Recovery and Reinvestment Act Seventh Anniversary,Data/barackobamarecoveryandreinvestmentact.txt,2016-02-22,2016-02-28,48.0,47.0,5.0
2016-03-11,South by Southwest Interactive Remarks,Data/barackobamasxsw.txt,2016-03-07,2016-03-13,51.0,45.0,4.0
2016-03-16,Merrick Garland USSC Nomination Address,Data/barackobamamerrickgarlandnomination.txt,2016-03-14,2016-03-20,50.0,46.0,4.0
2016-03-21,Joint Press Conference with President Raul Castro,Data/barackobamaraulcastropresser.txt,2016-03-21,2016-03-27,53.0,44.0,3.0
2016-03-21,Address and Q&A at a Cuba Entrepreneurs Event,Data/barackobamacubaentrepreneurs.txt,2016-03-21,2016-03-27,53.0,44.0,3.0
2016-03-22,Address to the People of Cuba,Data/barackobamacubapeoplespeech.txt,2016-03-21,2016-03-27,53.0,44.0,3.0
2016-03-23,Young Leaders Town Hall in Argentina,Data/barackobamaYLAIArgentina.txt,2016-03-21,2016-03-27,53.0,44.0,3.0
2016-03-26,Discussion with Davis Simon on The Wire,Data/barackobamadavidsimonthewire.txt,2016-03-21,2016-03-27,53.0,44.0,3.0
2016-04-01,Nuclear Security Summit Press Conference,Data/barackobamanuclearsummitpresser.txt,2016-03-28,2016-04-03,51.0,45.0,4.0
2016-04-07,Conversation at the University. of Chicago Law School,Data/barackobamausscconversation.txt,2016-04-04,2016-04-10,51.0,45.0,4.0
2016-04-21,Press Conference in Saudi Arabia,Data/barackobamasaudiarabiapresser.txt,2016-04-18,2016-04-24,51.0,45.0,4.0
2016-04-23,Young Leaders Town Hall in the United Kingdom,Data/barackobamalondontownhall.txt,2016-04-18,2016-04-24,51.0,45.0,4.0
2016-04-25,Address in Hannover to the Peoples of Europe,Data/barackobamaeuropehanover.txt,2016-04-25,2016-05-01,51.0,46.0,4.0
2016-04-30,White House Correspondents Dinner Speech,Data/barackobamawhitehousecorrespondentsdinner2016.txt,2016-04-25,2016-05-01,51.0,46.0,4.0
2016-05-04,"Flint, Michigan Community Speech",Data/barackobamaflintmichigancommunity.txt,2016-05-02,2016-05-08,52.0,44.0,4.0
2016-05-07,Howard University Commencement Address,Data/barackobamahowarduniversitycommencement.txt,2016-05-02,2016-05-08,52.0,44.0,4.0
2016-05-14,Weekly Address on Opioid Addiction with Macklemore,Data/barackobamaweeklyaddictionmacklemore.txt,2016-05-09,2016-05-15,51.0,45.0,4.0
2016-05-24,Address to the People of Vietnam,Data/barackobamanationalconventioncentervietnam.txt,2016-05-23,2016-05-29,52.0,44.0,4.0
2016-05-24,Address on Entrepreneurship at Dreamplex in Vietnam,Data/barackobamavietnambusinessdevelopment.txt,2016-05-23,2016-05-29,52.0,44.0,4.0
2016-05-25,Press Conference with Prime Minister Shinzo Abe,Data/barackobamashinzoabepresser.txt,2016-05-23,2016-05-29,52.0,44.0,4.0
2016-05-25,Young Leaders Town Hall in Vietnam,Data/barackobamaYSEALIVietnam.txt,2016-05-23,2016-05-29,52.0,44.0,4.0
2016-05-26,Post G7 Conference Presser,Data/barackobamajapanpostG7presser.txt,2016-05-23,2016-05-29,52.0,44.0,4.0
2016-05-27,Address at the Hiroshima Peace Memorial,Data/barackobamahiroshimaspeech.txt,2016-05-23,2016-05-29,52.0,44.0,4.0
2016-06-02,U.S. Air Force Academy Commencement Address,Data/barackobamaairforceacademycommencement.txt,2016-05-30,2016-06-05,51.0,44.0,5.0
2016-06-09,Presidential Endorsement of Hillary Clinton,Data/barackobamahillaryclintonpresidentialendorsement.txt,2016-06-06,2016-06-12,53.0,43.0,4.0
2016-06-12,"Statement on the Shootings in Orlando, Florida",Data/barackobamaorlandoshootings.txt,2016-06-06,2016-06-12,53.0,43.0,4.0
2016-06-14,Counter-ISIL Meeting Update Briefing,Data/barackobamaISILcounter.txt,2016-06-13,2016-06-19,53.0,44.0,4.0
2016-06-14,United State of Women White House Summit Address,Data/barackobamaunitedstateofwomensummit.txt,2016-06-13,2016-06-19,53.0,44.0,4.0
2016-06-16,"Address to the Community of Orlando, Florida",Data/barackobamaorlandocommunitystmt.txt,2016-06-13,2016-06-19,53.0,44.0,4.0
2016-06-23,Remarks on USSC Ruling in U.S. vs. Texas,Data/barackobamausvstexasimmigration.txt,2016-06-20,2016-06-26,50.0,46.0,5.0
2016-06-29,Speech to the Parliament of Canada,Data/barackobamaparliamentofcanadaspeech.txt,2016-06-27,2016-07-03,51.0,45.0,5.0
2016-07-09,Press Conference Following 2016 NATO Summit,Data/barackobamapostnatopresser2016.txt,2016-07-04,2016-07-10,51.0,45.0,4.0
2016-07-12,Dallas Police Memorial Address,Data/barackobamadallaspolicememorial.txt,2016-07-11,2016-07-17,49.0,46.0,5.0
2016-08-04,Post Security Council Pentagon Press Conference,Data/barackobamaisilpressconference.txt,2016-08-01,2016-08-07,52.0,45.0,4.0
2016-08-23,Baton Rouge Flooding Press Statement,Data/barackobamabatonrougeflooding.txt,2016-08-22,2016-08-28,51.0,45.0,5.0
2016-09-05,Press Conference Following G-20 Summit,Data/barackobamag20chinapresser.txt,2016-09-05,2016-09-11,51.0,45.0,4.0
2016-09-06,Address to the People of Laos,Data/barackobamalaospeople.txt,2016-09-05,2016-09-11,51.0,45.0,4.0
2016-09-06,Post ASEAN Press Conference,Data/barackobamapostASEANpresser.txt,2016-09-05,2016-09-11,51.0,45.0,4.0
2016-09-11,9/11 Memorial Address,Data/barackobama91115years.txt,2016-09-05,2016-09-11,51.0,45.0,4.0
2016-09-19,On the Explosions in New York and New Jersey,Data/barackobamanewyorkandnewjerseyexplosions.txt,2016-09-19,2016-09-25,53.0,43.0,4.0
2016-09-20,United Nations 71st Session General Assembly Speech,Data/barackobamaunitednations71.txt,2016-09-19,2016-09-25,53.0,43.0,4.0
