date,title,url,beg,end,approval,disapproval,no opinon
2009-12-18,UN Copenhagen Climate Change Conference Speech,Data/barackobamaunitednationsclimatechange.txt,2009-12-14,2009-12-20,50.0,43.0,7.0
2009-12-28,On NW Flight 253 Terrorist Threat and Iran Violence,Data/barackobamaflight253terrorismiranviolence.txt,2009-12-28,2010-01-03,51.0,43.0,7.0
2009-12-29,NW Flight 253 Attempted Terrorist Attack Update,Data/barackobamadetroitterroristincident.txt,2009-12-28,2010-01-03,51.0,43.0,7.0
2010-01-05,National Security Review Press Conference,Data/barackobamasecurityreviewpressconference.txt,2010-01-04,2010-01-10,51.0,43.0,7.0
2010-01-07,Security Review Results and Aviation Security,Data/barackobamaaviationsecurity.txt,2010-01-04,2010-01-10,51.0,43.0,7.0
2010-01-14,Speech on Financial Crisis Responsibility Fee,Data/barackobamafinancialcrisisresponsiblityfee.txt,2010-01-11,2010-01-17,50.0,43.0,7.0
2010-01-17,Martin Luther King Remembrance Speech,Data/barackobamamlkremembrancespeech.txt,2010-01-11,2010-01-17,50.0,43.0,7.0
2010-01-22,Lorain County Town Hall Speech and Q&A,Data/barackobamaloraincountytownhallspeech.txt,2010-01-18,2010-01-24,49.0,46.0,6.0
2010-01-27,Auschwitz and Birkenau Remembrance Message,Data/barackobamaauschwitzbirkenauliberation65.txt,2010-01-25,2010-01-31,48.0,45.0,7.0
2010-01-29,GOP Issues Conference Forum Dialogue,Data/barackobamagophouseissuesconference.txt,2010-01-25,2010-01-31,48.0,45.0,7.0
2010-02-01,Press Conference on 2010 Budget Sent to Congress,Data/barackobama2010budgettocongress.txt,2010-02-01,2010-02-07,50.0,43.0,8.0
2010-02-04,Speech at the 58th National Prayer Breakfast,Data/barackobama2010prayerbreakfastspeech.txt,2010-02-01,2010-02-07,50.0,43.0,8.0
2010-02-09,Unannounced Briefing on Health Care and Jobs,Data/barackobamajobshealthcarebriefing.txt,2010-02-08,2010-02-14,51.0,42.0,7.0
2010-02-19,Town Hall at Green Valley High School,Data/barackobamahendersontownhall.txt,2010-02-15,2010-02-21,49.0,43.0,8.0
2010-03-03,Vote Push on Heath Care Reform Legislation,Data/barackobamaheathcarevotenow.txt,2010-03-01,2010-03-07,49.0,44.0,7.0
2010-03-13,Blueprint for Reforming No Child Left Behind Act,Data/barackobamanochildleftbehind.txt,2010-03-08,2010-03-14,48.0,45.0,8.0
2010-03-19,Health Care Speech at George Mason University,Data/barackobamahealthcaregeorgemason.txt,2010-03-15,2010-03-21,48.0,45.0,7.0
2010-03-20,Speech to House Democratic Caucus on Health Care,Data/barackobamahousedemocraticcongresshealthcare.txt,2010-03-15,2010-03-21,48.0,45.0,7.0
2010-03-21,Speech on House Passage of Health Care Reform Bill,Data/barackobamapassinghealthcarebill.txt,2010-03-15,2010-03-21,48.0,45.0,7.0
2010-03-23,Speech on Signing Health Care Reform Bill into Law,Data/barackobamahealthreformbillsigning.txt,2010-03-22,2010-03-28,49.0,44.0,7.0
2010-03-28,Speech to U.S. Military in Afghanistan,Data/barackobamatroopsafghanistan.txt,2010-03-22,2010-03-28,49.0,44.0,7.0
2010-03-31,Speech on Energy Security at Andrews Air Force Base,Data/barackobamaenergysecurityandrewsafb.txt,2010-03-29,2010-04-04,49.0,44.0,7.0
2010-04-08,START Treaty Joint Presser with Medvedev,Data/barackobamastarttreaty.txt,2010-04-05,2010-04-11,47.0,46.0,6.0
2010-04-09,On Justice Stevens and West Virginia Mining Tragedy,Data/barackobamawvminejusticestevens.txt,2010-04-05,2010-04-11,47.0,46.0,6.0
2010-04-15,NASA Space Exploration in the 21st Century Speech,Data/barackobamanasaboldcourse.txt,2010-04-12,2010-04-18,48.0,45.0,7.0
2010-04-22,Cooper Union Speech on Wall Street Financial Reform,Data/barackobamareformingwallstreet.txt,2010-04-19,2010-04-25,50.0,43.0,7.0
2010-04-25,Eulogy for Upper Big Branch Miners,Data/barackobamaeulogycoalminers.txt,2010-04-19,2010-04-25,50.0,43.0,7.0
2010-04-29,Eulogy for Dorothy Height,Data/barackobamadorothyheight.txt,2010-04-26,2010-05-02,48.0,45.0,7.0
2010-05-01,Commencement Speech at Michigan University,Data/barackobamauniversityofmichigancommencement.txt,2010-04-26,2010-05-02,48.0,45.0,7.0
2010-05-01,White House Correspondents Dinner Speech,Data/barackobamawhitehousecorrespondentsdinner2010.txt,2010-04-26,2010-05-02,48.0,45.0,7.0
2010-05-10,Speech Nominating Elena Kagan for USSC Justice,Data/barackobamaelenakagannomination.txt,2010-05-10,2010-05-16,49.0,43.0,7.0
2010-05-22,U.S. Military Academy Commencement Address,Data/barackobamawestpointcommencement.txt,2010-05-17,2010-05-23,48.0,45.0,8.0
2010-05-27,Press Conference on Gulf Oil Spill Disaster,Data/barackobamagulfoilspillpresser.txt,2010-05-24,2010-05-30,46.0,46.0,8.0
2010-05-28,Grande Isle Briefing on Gulf Oil Spill Disaster,Data/barackobamagrandeisleoilspillbriefing.txt,2010-05-24,2010-05-30,46.0,46.0,8.0
2010-06-02,Speech on the Economy at Carnegie Mellon,Data/barackobamacarnegiemellon.txt,2010-05-31,2010-06-06,47.0,45.0,8.0
2010-06-07,Kalamazoo Central H.S. Commencement Speech,Data/barackobamakalamazoocommencement.txt,2010-06-07,2010-06-13,46.0,46.0,8.0
2010-06-09,Speech on UN Security Council Sanctions Against Iran,Data/barackobamairansanctions.txt,2010-06-07,2010-06-13,46.0,46.0,8.0
2010-06-15,Speech to Military Personnel in Pensacola,Data/barackobamapensacolamilitary.txt,2010-06-14,2010-06-20,47.0,45.0,8.0
2010-06-15,Oval Office Speech on BP Oil Spill Disaster,Data/barackobamabpoilspillovaloffice.txt,2010-06-14,2010-06-20,47.0,45.0,8.0
2010-06-16,Speech to the American Nurses Association,Data/barackobamanursesassociation.txt,2010-06-14,2010-06-20,47.0,45.0,8.0
2010-06-21,Father's Day Speech,Data/barackobamafathersday2010.txt,2010-06-21,2010-06-27,45.0,46.0,9.0
2010-06-23,On the Removal of Gen. McChrystal in Afghanistan,Data/barackobamamccrystalremovedafghanistan.txt,2010-06-21,2010-06-27,45.0,46.0,9.0
2010-07-01,Comprehensive Immigration Reform Speech,Data/barackobamacomprehensiveimmigrationreform.txt,2010-06-28,2010-07-04,46.0,45.0,9.0
2010-07-02,Eulogy for Robert Byrd,Data/barackobamarobertbyrdeulogy.txt,2010-06-28,2010-07-04,46.0,45.0,9.0
2010-07-21,Dodd-Frank Consumer Protection Act Speech,Data/barackobamawallstreetreformactsigning.txt,2010-07-19,2010-07-25,45.0,47.0,8.0
2010-07-29,Urban League Centennial Address on Education,Data/barackobamaurbanleaguecentennial.txt,2010-07-26,2010-08-01,45.0,47.0,8.0
2010-08-02,Disabled Veterans Conference Speech on Iraq OPS,Data/barackobamairaqendingcombat.txt,2010-08-02,2010-08-08,45.0,48.0,7.0
2010-08-13,Iftar Dinner Speech on Religious Tolerance,Data/barackobamaiftardinner.txt,2010-08-09,2010-08-15,44.0,48.0,8.0
2010-09-11,9/11 Pentagon Memorial Speech,Data/barackobama911pentagonmemorial.txt,2010-09-06,2010-09-12,46.0,46.0,8.0
2010-09-23,United Nations 65th Session General Assembly Speech,Data/barackobamaunitednations65.txt,2010-09-20,2010-09-26,44.0,48.0,8.0
2010-11-03,Midterm Election Press Conference,Data/barackobamamidtermpresser.txt,2010-11-01,2010-11-07,45.0,47.0,8.0
