date,title,url
2009-11-10,Fort Hood Memorial Service Speech,./Data/barackobamaforthoodmemorial.txt
2009-11-16,Town Hall Address in Shanghai,./Data/barackobamashanghaitownhall.txt
2009-12-01,Afghanistan Troop Surge at the U.S. Military Academy,./Data/barackobamawestpointafghanistan.txt
2009-12-06,Kennedy Center Honorees Address,./Data/barackobamakennedycenterhonorees2009.txt
2009-12-08,Brookings Institution Speech on Job Creation,./Data/barackobamabrookingsinstitute.txt
2009-12-10,Nobel Prize for Peace Speech and Lecture,./Data/barackobamanobelprizespeech.txt
2009-12-18,UN Copenhagen Climate Change Conference Speech,./Data/barackobamaunitednationsclimatechange.txt
2009-12-28,On NW Flight 253 Terrorist Threat and Iran Violence,./Data/barackobamaflight253terrorismiranviolence.txt
2009-12-29,NW Flight 253 Attempted Terrorist Attack Update,./Data/barackobamadetroitterroristincident.txt
2010-01-05,National Security Review Press Conference,./Data/barackobamasecurityreviewpressconference.txt
2010-01-07,Security Review Results and Aviation Security,./Data/barackobamaaviationsecurity.txt
2010-01-14,Speech on Financial Crisis Responsibility Fee,./Data/barackobamafinancialcrisisresponsiblityfee.txt
2010-01-17,Martin Luther King Remembrance Speech,./Data/barackobamamlkremembrancespeech.txt
2010-01-22,Lorain County Town Hall Speech and Q&A,./Data/barackobamaloraincountytownhallspeech.txt
2010-01-27,Auschwitz and Birkenau Remembrance Message,./Data/barackobamaauschwitzbirkenauliberation65.txt
2010-01-29,GOP Issues Conference Forum Dialogue,./Data/barackobamagophouseissuesconference.txt
2010-02-01,Press Conference on 2010 Budget Sent to Congress,./Data/barackobama2010budgettocongress.txt
2010-02-04,Speech at the 58th National Prayer Breakfast,./Data/barackobama2010prayerbreakfastspeech.txt
2010-02-09,Unannounced Briefing on Health Care and Jobs,./Data/barackobamajobshealthcarebriefing.txt
2010-02-19,Town Hall at Green Valley High School,./Data/barackobamahendersontownhall.txt
2010-03-03,Vote Push on Heath Care Reform Legislation,./Data/barackobamaheathcarevotenow.txt
2010-03-13,Blueprint for Reforming No Child Left Behind Act,./Data/barackobamanochildleftbehind.txt
2010-03-19,Health Care Speech at George Mason University,./Data/barackobamahealthcaregeorgemason.txt
2010-03-20,Speech to House Democratic Caucus on Health Care,./Data/barackobamahousedemocraticcongresshealthcare.txt
2010-03-21,Speech on House Passage of Health Care Reform Bill,./Data/barackobamapassinghealthcarebill.txt
2010-03-23,Speech on Signing Health Care Reform Bill into Law,./Data/barackobamahealthreformbillsigning.txt
2010-03-28,Speech to U.S. Military in Afghanistan,./Data/barackobamatroopsafghanistan.txt
2010-03-31,Speech on Energy Security at Andrews Air Force Base,./Data/barackobamaenergysecurityandrewsafb.txt
2010-04-08,START Treaty Joint Presser with Medvedev,./Data/barackobamastarttreaty.txt
2010-04-09,On Justice Stevens and West Virginia Mining Tragedy,./Data/barackobamawvminejusticestevens.txt
2010-04-15,NASA Space Exploration in the 21st Century Speech,./Data/barackobamanasaboldcourse.txt
